"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
6257,80,1400,60,"Yverdon 1 Dist","Yverdon 1 Distribution","res_country_state_ch_vd","base.ch"
6258,20,3415,3,"Rüegsauschachen","Rüegsauschachen","res_country_state_ch_be","base.ch"
6259,20,3415,1,"Hasle b. Burgdorf","Hasle b. Burgdorf","res_country_state_ch_be","base.ch"
6260,20,6363,1,"Fürigen","Fürigen","res_country_state_ch_nw","base.ch"
6269,20,6410,5,"Rigi Scheidegg","Rigi Scheidegg","res_country_state_ch_sz","base.ch"
6274,20,4571,1,"Lüterkofen","Lüterkofen","res_country_state_ch_so","base.ch"
6279,30,8775,0,"Luchsingen-Hätzin","Luchsingen-Hätzingen","res_country_state_ch_gl","base.ch"
6283,40,8070,0,"Zürich","Zürich","res_country_state_ch_zh","base.ch"
6284,40,8071,0,"Zürich CS PZ","Zürich CS PZ","res_country_state_ch_zh","base.ch"
6285,80,1631,0,"Bulle","Bulle","res_country_state_ch_fr","base.ch"
6287,40,3040,0,"Bern","Bern","res_country_state_ch_be","base.ch"
6288,40,4040,2,"Basel","Basel","res_country_state_ch_bl","base.ch"
6291,40,6007,0,"Luzern","Luzern","res_country_state_ch_lu","base.ch"
6293,40,8759,0,"Netstal","Netstal","res_country_state_ch_gl","base.ch"
6295,40,9020,0,"St. Gallen","St. Gallen","res_country_state_ch_sg","base.ch"
6297,80,6500,65,"Bellinzona CS","Bellinzona centro servici","res_country_state_ch_ti","base.ch"
6347,20,8268,2,"Salenstein","Salenstein","res_country_state_ch_tg","base.ch"
6349,20,8522,2,"Aawangen","Aawangen","res_country_state_ch_tg","base.ch"
6351,20,9503,2,"Lanterswil","Lanterswil","res_country_state_ch_tg","base.ch"
6353,20,6260,3,"Hintermoos","Hintermoos","res_country_state_ch_lu","base.ch"
6354,40,1211,71,"Genève 71 CS CP","Genève 71 CS CP","res_country_state_ch_ge","base.ch"
6355,80,1279,1,"Chavannes-Bogis LS","Chavannes-de-Bogis OLS","res_country_state_ch_vd","base.ch"
6356,80,1215,2,"Genève ICC OLS","Genève ICC OLS","res_country_state_ch_ge","base.ch"
6357,30,1950,4,"Sion 4","Sion 4","res_country_state_ch_vs","base.ch"
6360,20,6383,3,"Wiesenberg","Wiesenberg","res_country_state_ch_nw","base.ch"
6361,40,3000,71,"Bern 71 CS PZ","Bern 71 CS PZ","res_country_state_ch_be","base.ch"
6362,10,4573,0,"Lohn-Ammannsegg","Lohn-Ammannsegg","res_country_state_ch_so","base.ch"
6365,40,9026,0,"St. Gallen K AG","St. Gallen Künzler AG","res_country_state_ch_sg","base.ch"
6381,80,8152,60,"Glattbrugg Zust","Glattbrugg Zustellung","res_country_state_ch_zh","base.ch"
6386,30,1988,0,"Thyon-Les Collons","Thyon-Les Collons","res_country_state_ch_vs","base.ch"
6389,80,8965,2,"Berikon 2 Dorf","Berikon 2 Dorf","res_country_state_ch_ag","base.ch"
6390,30,8965,1,"Berikon 1","Berikon 1","res_country_state_ch_ag","base.ch"
6412,30,5046,0,"Schmiedrued-Walde","Schmiedrued-Walde","res_country_state_ch_ag","base.ch"
6413,30,6031,0,"Ebikon","Ebikon","res_country_state_ch_lu","base.ch"
